Customer_Name,Region,Product,Sales,Quantity,Order_Date,Total_Sales
Karan,Unknown,Monitor,300.0,4.0,2023-06-08,1200.0
Riya,South,Monitor,300.0,2.0,2023-03-18,600.0
Amit,West,Unknown,300.0,2.0,2023-07-01,600.0
Sneha,Unknown,Tablet,300.0,4.0,2023-04-01,1200.0
Sneha,West,Phone,300.0,4.0,2023-05-15,1200.0
Sneha,South,Laptop,300.0,2.0,2023-05-01,600.0
Rahul,South,Unknown,400.0,4.0,2023-05-11,1600.0
Sneha,South,Phone,400.0,2.0,2023-06-04,800.0
Riya,North,Monitor,400.0,1.0,2023-08-27,400.0
Priya,West,Laptop,400.0,4.0,2023-10-09,1600.0
Karan,North,Monitor,100.0,2.0,2023-01-14,200.0
Unknown,Unknown,Tablet,100.0,4.0,2023-08-08,400.0
Amit,South,Phone,300.0,4.0,2023-03-04,1200.0
Amit,Unknown,Laptop,100.0,2.0,2023-02-27,200.0
Karan,Unknown,Laptop,200.0,4.0,2023-10-21,800.0
Priya,North,Monitor,100.0,3.0,2023-04-18,300.0
Rahul,West,Unknown,300.0,1.0,2023-11-22,300.0
Unknown,East,Phone,200.0,2.0,2023-11-02,400.0
Unknown,South,Laptop,300.0,2.0,2023-01-26,600.0
Amit,Unknown,Laptop,100.0,2.0,2023-09-26,200.0
Rahul,Unknown,Tablet,300.0,2.0,2023-02-22,600.0
Riya,Unknown,Phone,300.0,2.0,2023-11-23,600.0
Rahul,North,Phone,400.0,1.0,2023-09-11,400.0
Riya,North,Laptop,200.0,1.0,2023-03-15,200.0
Amit,East,Phone,300.0,2.0,2023-03-14,600.0
Rahul,Unknown,Phone,300.0,2.0,2023-05-25,600.0
Karan,North,Laptop,100.0,3.0,2023-12-18,300.0
Sneha,West,Laptop,400.0,1.0,2023-12-17,400.0
Amit,West,Monitor,300.0,2.0,2023-09-12,600.0
Sneha,Unknown,Monitor,300.0,2.0,2023-08-18,600.0
Riya,South,Monitor,300.0,3.0,2023-10-22,900.0
Unknown,Unknown,Monitor,300.0,3.0,2023-06-26,900.0
Amit,West,Phone,100.0,3.0,2023-07-08,300.0
Priya,West,Tablet,200.0,2.0,2023-01-07,400.0
Sneha,West,Laptop,300.0,4.0,2023-04-30,1200.0
Amit,Unknown,Laptop,100.0,3.0,2023-01-02,300.0
Rahul,East,Unknown,100.0,3.0,2023-07-11,300.0
Sneha,South,Tablet,200.0,2.0,2023-07-13,400.0
Riya,East,Tablet,200.0,2.0,2023-05-06,400.0
Sneha,East,Laptop,100.0,2.0,2023-10-05,200.0
Sneha,South,Tablet,200.0,4.0,2023-10-30,800.0
Unknown,West,Unknown,300.0,2.0,2023-09-14,600.0
Amit,West,Phone,200.0,2.0,2023-08-03,400.0
Rahul,Unknown,Monitor,300.0,2.0,2023-06-14,600.0
Rahul,Unknown,Unknown,100.0,3.0,2023-06-04,300.0
Rahul,East,Monitor,400.0,4.0,2023-05-29,1600.0
Amit,South,Laptop,100.0,2.0,2023-12-07,200.0
Priya,South,Phone,300.0,2.0,2023-08-20,600.0
Karan,North,Unknown,100.0,2.0,2023-02-04,200.0
Sneha,North,Tablet,100.0,4.0,2023-08-30,400.0
Unknown,East,Phone,300.0,2.0,2023-03-03,600.0
Sneha,Unknown,Unknown,400.0,2.0,2023-06-05,800.0
Priya,West,Phone,200.0,2.0,2023-08-17,400.0
Karan,Unknown,Laptop,300.0,2.0,2023-03-15,600.0
Priya,West,Tablet,300.0,2.0,2023-11-25,600.0
Amit,East,Monitor,100.0,2.0,2023-02-22,200.0
Amit,South,Monitor,300.0,2.0,2023-03-26,600.0
Karan,North,Monitor,100.0,2.0,2023-11-15,200.0
Riya,Unknown,Unknown,300.0,2.0,2023-02-18,600.0
Riya,South,Phone,200.0,3.0,2023-10-27,600.0
Unknown,Unknown,Tablet,400.0,3.0,2023-05-22,1200.0
Amit,Unknown,Tablet,300.0,1.0,2023-09-23,300.0
Karan,East,Unknown,100.0,2.0,2023-06-05,200.0
Rahul,North,Tablet,300.0,1.0,2023-04-01,300.0
Karan,North,Tablet,300.0,2.0,2023-02-04,600.0
Rahul,Unknown,Phone,300.0,2.0,2023-11-23,600.0
Priya,West,Phone,100.0,2.0,2023-02-07,200.0
Priya,South,Phone,300.0,2.0,2023-01-07,600.0
Amit,Unknown,Unknown,200.0,2.0,2023-11-11,400.0
Rahul,Unknown,Unknown,300.0,1.0,2023-03-27,300.0
Rahul,South,Unknown,100.0,2.0,2023-01-04,200.0
Rahul,Unknown,Tablet,300.0,3.0,2023-03-17,900.0
Rahul,North,Monitor,300.0,2.0,2023-08-23,600.0
Sneha,Unknown,Tablet,200.0,1.0,2023-09-25,200.0
Unknown,West,Phone,300.0,2.0,2023-03-20,600.0
Sneha,Unknown,Monitor,300.0,2.0,2023-07-31,600.0
Unknown,West,Laptop,400.0,4.0,2023-10-10,1600.0
Priya,Unknown,Monitor,400.0,2.0,2023-12-30,800.0
Sneha,West,Phone,300.0,3.0,2023-09-13,900.0
Amit,Unknown,Phone,200.0,2.0,2023-03-22,400.0
Unknown,West,Phone,100.0,1.0,2023-06-13,100.0
Sneha,North,Phone,400.0,2.0,2023-02-22,800.0
Riya,Unknown,Laptop,300.0,1.0,2023-03-22,300.0
Karan,West,Monitor,300.0,4.0,2023-07-08,1200.0
Rahul,West,Laptop,300.0,3.0,2023-04-10,900.0
Priya,South,Tablet,400.0,2.0,2023-05-08,800.0
Karan,West,Monitor,300.0,2.0,2023-06-04,600.0
Sneha,Unknown,Tablet,300.0,2.0,2023-02-21,600.0
Karan,Unknown,Tablet,400.0,4.0,2023-12-02,1600.0
Unknown,Unknown,Tablet,200.0,3.0,2023-10-11,600.0
Karan,North,Phone,200.0,2.0,2023-05-13,400.0
Karan,West,Monitor,300.0,1.0,2023-12-25,300.0
Sneha,North,Unknown,300.0,4.0,2023-08-02,1200.0
Karan,North,Monitor,400.0,2.0,2023-04-14,800.0
Karan,West,Phone,300.0,2.0,2023-08-30,600.0
Karan,South,Monitor,300.0,1.0,2023-10-07,300.0
Amit,East,Phone,100.0,1.0,2023-12-30,100.0
Unknown,West,Monitor,200.0,4.0,2023-04-18,800.0
Karan,East,Monitor,100.0,4.0,2023-01-23,400.0
Sneha,West,Tablet,100.0,2.0,2023-12-15,200.0
Priya,North,Laptop,300.0,3.0,2023-02-13,900.0
Riya,West,Monitor,400.0,2.0,2023-01-07,800.0
Riya,East,Unknown,300.0,2.0,2023-07-25,600.0
Riya,North,Laptop,300.0,3.0,2023-05-26,900.0
Amit,West,Unknown,100.0,2.0,2023-05-06,200.0
Rahul,South,Monitor,100.0,2.0,2023-10-02,200.0
Riya,Unknown,Phone,300.0,2.0,2023-08-29,600.0
Rahul,West,Monitor,300.0,2.0,2023-05-11,600.0
Sneha,South,Tablet,100.0,2.0,2023-01-28,200.0
Amit,East,Phone,400.0,3.0,2023-08-24,1200.0
Riya,Unknown,Unknown,100.0,4.0,2023-07-27,400.0
Unknown,South,Monitor,200.0,1.0,2023-02-21,200.0
Amit,Unknown,Monitor,300.0,2.0,2023-08-04,600.0
Rahul,South,Phone,400.0,2.0,2023-11-16,800.0
Priya,Unknown,Monitor,300.0,2.0,2023-06-08,600.0
Karan,West,Laptop,300.0,2.0,2023-01-14,600.0
Priya,South,Unknown,300.0,4.0,2023-12-15,1200.0
Amit,West,Monitor,300.0,2.0,2023-08-31,600.0
Riya,East,Monitor,200.0,1.0,2023-06-24,200.0
Sneha,Unknown,Phone,400.0,2.0,2023-06-23,800.0
Priya,Unknown,Tablet,400.0,2.0,2023-04-08,800.0
Priya,South,Unknown,400.0,4.0,2023-09-18,1600.0
Riya,Unknown,Laptop,300.0,3.0,2023-05-19,900.0
Amit,South,Laptop,300.0,3.0,2023-03-05,900.0
Riya,Unknown,Phone,300.0,4.0,2023-10-02,1200.0
Rahul,South,Laptop,200.0,2.0,2023-07-20,400.0
Amit,East,Tablet,300.0,4.0,2023-04-30,1200.0
Priya,Unknown,Monitor,100.0,2.0,2023-11-11,200.0
Priya,Unknown,Unknown,100.0,1.0,2023-07-21,100.0
Sneha,East,Monitor,100.0,2.0,2023-08-27,200.0
Priya,West,Phone,300.0,2.0,2023-01-13,600.0
Sneha,South,Monitor,400.0,2.0,2023-06-07,800.0
Priya,East,Tablet,200.0,2.0,2023-03-20,400.0
Rahul,East,Laptop,300.0,2.0,2023-12-27,600.0
Priya,Unknown,Unknown,300.0,2.0,2023-03-19,600.0
Unknown,East,Tablet,300.0,2.0,2023-05-18,600.0
Sneha,East,Phone,400.0,2.0,2023-07-08,800.0
Unknown,West,Unknown,300.0,2.0,2023-03-18,600.0
Sneha,North,Monitor,400.0,3.0,2023-08-18,1200.0
Sneha,Unknown,Phone,100.0,3.0,2023-06-07,300.0
Priya,Unknown,Monitor,400.0,4.0,2023-04-20,1600.0
Unknown,East,Tablet,100.0,2.0,2023-03-17,200.0
Sneha,North,Tablet,100.0,3.0,2023-11-12,300.0
Karan,North,Phone,200.0,1.0,2023-05-24,200.0
Rahul,East,Laptop,200.0,4.0,2023-06-10,800.0
Priya,West,Phone,300.0,2.0,2023-09-12,600.0
Sneha,Unknown,Laptop,300.0,3.0,2023-07-28,900.0
Unknown,Unknown,Phone,300.0,2.0,2023-04-19,600.0
Rahul,Unknown,Phone,300.0,2.0,2023-04-25,600.0
Priya,South,Unknown,300.0,1.0,2023-01-12,300.0
Rahul,Unknown,Laptop,300.0,1.0,2023-09-29,300.0
Karan,West,Laptop,200.0,1.0,2023-10-09,200.0
Priya,East,Tablet,100.0,2.0,2023-10-05,200.0
